siteid,sitename,reference,doi,collunitid,handle,discovery,analysisunitid,analysisunitname,labnumber,uncal14Cage,uncal14Cerr,>,materialdated,taxondated,elementdated,depth,notes,method,d13C,%C,%N,C:N
3540,Canyon City Club Cave [A251],University of Wisconsin Radiocarbon Dates IX,https://doi.org/10.1017/S0033822200008584,4423,CANCTYCL,lit search,80067,Cultural unit,WIS-411,300,50,0,charcoal,,,Level 1,,conventional radiometric,,,,
3540,Canyon City Club Cave [A251],University of Wisconsin Radiocarbon Dates IX,https://doi.org/10.1017/S0033822200008584,4423,CANCTYCL,lit search,80067,Cultural unit,WIS-412,1050,50,0,charcoal,,,Level 5,,conventional radiometric,,,,
3540,Canyon City Club Cave [A251],University of Wisconsin Radiocarbon Dates IX,https://doi.org/10.1017/S0033822200008584,4423,CANCTYCL,lit search,80067,Cultural unit,WIS-402,1260,55,0,charcoal,,,Level 3,,conventional radiometric,,,,
3540,Canyon City Club Cave [A251],University of Wisconsin Radiocarbon Dates IX,https://doi.org/10.1017/S0033822200008584,4423,CANCTYCL,lit search,80067,Cultural unit,WIS-404,1650,55,0,charcoal,,,Level 4,,conventional radiometric,,,,
3540,Canyon City Club Cave [A251],University of Wisconsin Radiocarbon Dates IX,https://doi.org/10.1017/S0033822200008584,4423,CANCTYCL,lit search,80067,Cultural unit,WIS-410,400,60,0,charcoal,,,Level 1,,conventional radiometric,,,,
3540,Canyon City Club Cave [A251],University of Wisconsin Radiocarbon Dates IX,https://doi.org/10.1017/S0033822200008584,4423,CANCTYCL,lit search,80067,Cultural unit,WIS-414,1250,60,0,charcoal,,,Level 4,,conventional radiometric,-26.40%,,,
3540,Canyon City Club Cave [A251],University of Wisconsin Radiocarbon Dates IX,https://doi.org/10.1017/S0033822200008584,4423,CANCTYCL,lit search,80067,Cultural unit,WIS-420,2100,60,0,charcoal,,,Level 5,,conventional radiometric,-25.70%,,,
3540,Canyon City Club Cave [A251],University of Wisconsin Radiocarbon Dates IX,https://doi.org/10.1017/S0033822200008584,4423,CANCTYCL,lit search,80067,Cultural unit,WIS-421,700,60,0,charcoal,,,Level 2,,conventional radiometric,-26.20%,,,
3540,Canyon City Club Cave [A251],University of Wisconsin Radiocarbon Dates IX,https://doi.org/10.1017/S0033822200008584,4423,CANCTYCL,lit search,80067,Cultural unit,WIS-430,2830,60,0,charcoal,,,Level 5,,conventional radiometric,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,CARD,80086,Stratum 5A,I-140,70,70,0,"Bone, Bison Bison",Bison bison,,,"charred bone, area 8, substratum 5A",accelerator mass spectrometry,-20,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1985",https://doi.org/10.1080/2052546.1985.11909281,4426,LUBBOCK,CARD,80076,Stratum 2ALB4,SMU-1115,10070,100,0,"Sediment, humic acid marsh sediment",,,,"area 21, stratum 2ALB4, humic acid from marsh sediment",conventional radiometric,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1985",https://doi.org/10.1080/2052546.1985.11909281,4426,LUBBOCK,CARD,80075,Stratum 2ALB2,SMU-1144,10090,100,0,Sediment,,,,"area 21, stratum 2ALB2, humic acid from marsh sediment",conventional radiometric,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1985",https://doi.org/10.1080/2052546.1985.11909281,4426,LUBBOCK,CARD,80084,Stratum 4B,SMU-1191,2070,130,0,Sediment,,,,"humic acid, trench 108E, substratum 4B, middle of buried A horizon",conventional radiometric,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,CARD,80081,Stratum 2s,SI-4590,7365,150,0,"Sediment, humins-marsh sediment",,,,"Area 9, Stratum 2s",conventional radiometric,-25,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1985",https://doi.org/10.1080/2052546.1985.11909281,4426,LUBBOCK,CARD,80083,Stratum 4A,SMU-1200,5270,150,0,Sediment,,,,"humic acid, trench 116, substratum 4A, organic-rich sediment",conventional radiometric,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1985",https://doi.org/10.1080/2052546.1985.11909281,4426,LUBBOCK,CARD,80081,Stratum 2S,SMU-851,10040,150,0,Bone,,,,"Stratum 2s, FA9-l",conventional radiometric,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,CARD,80075,Stratum 2ALB2,SMU-247,7840,170,0,"Sediment, humic acid marsh sediment",,,,"area 3, stratum 2ALB2, humin from marsh sediment",conventional radiometric,-25,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1985",https://doi.org/10.1080/2052546.1985.11909281,4426,LUBBOCK,CARD,80080,Stratum 2e,SMU-1192,8730,240,0,"Sediment, humic acid marsh sediment",,,,"humic acid, trench 108E, substratum 2e, marsh sediment",conventional radiometric,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1985",https://doi.org/10.1080/2052546.1985.11909281,4426,LUBBOCK,CARD,80084,Stratum 4B,SMU-1090,1270,40,0,Sediment,,,,"humic acid, area 7, substratum 4B, top of buried A horizon",conventional radiometric,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1985",https://doi.org/10.1080/2052546.1985.11909281,4426,LUBBOCK,CARD,80084,Stratum 4B,SI-5351,1505,50,0,Charcoal,,,,"trench 95, substratum 4B",conventional radiometric,-25,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1985",https://doi.org/10.1080/2052546.1985.11909281,4426,LUBBOCK,CARD,80083,Stratum 4A,SMU-1092,1740,50,0,Sediment,,,,"humic acid, trench 95, substratum 4A, organic-rich sediment",conventional radiometric,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1985",https://doi.org/10.1080/2052546.1985.11909281,4426,LUBBOCK,CARD,80084,Stratum 4B,SMU-1177,1550,50,0,Sediment,,,,"humic acid, trench 108E, substratum 4B, top of buried A horizon",conventional radiometric,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,CARD,80083,Stratum 4A,SMU-309,4470,50,0,"Bone, Bison sp.",,,,"area 7, substratum 4A",conventional radiometric,-10,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,CARD,80083,Stratum 4A,SMU-332-333,4910,50,0,"Bone, Bison sp.",,,,"area 7, substratum 4A",conventional radiometric,-20,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,CARD,80088,Stratum 5B,SMU-650,50,50,0,Sediment,,,,"humic acid, trench 108, substratum 5B, buried A horizon",conventional radiometric,-25,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,CARD,80088,Stratum 5B,SMU-831,390,50,0,Sediment,,,,"humic acid, area 6, substratum 5B/, marsh sediment",conventional radiometric,-25,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1985",https://doi.org/10.1080/2052546.1985.11909281,4426,LUBBOCK,CARD,80086,Stratum 5A,SMU-893,450,50,0,Charcoal,,,,"area 7, substratum 5A, lower GA7-5",conventional radiometric,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1985",https://doi.org/10.1080/2052546.1985.11909281,4426,LUBBOCK,CARD,80081,Stratum 2S,SMU-850,10250,580,0,Bone,,,,"Stratum 2s, FA9-l",conventional radiometric,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,CARD,80084,Stratum 4B,SI-4589,655,60,0,Sediment,,,,"humin, area 8, substratum 4B, base of buried A horizon",conventional radiometric,-25,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1985",https://doi.org/10.1080/2052546.1985.11909281,4426,LUBBOCK,CARD,80081,Stratum 2S,SMU-847,7220,60,0,Bone,,,,"Stratum 2s, FA9-l",conventional radiometric,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,CARD,80076,Stratum 2ALB4,SI-3199,9115,70,0,"Sediment, humins-marsh sediment",,,,"area 6, stratum 2ALB4, humin from marsh sediment",conventional radiometric,-25,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1985",https://doi.org/10.1080/2052546.1985.11909281,4426,LUBBOCK,CARD,80081,Stratum 2S,SMU-849,9480,70,0,Bone,,,,"Stratum 2s, FA9- l",conventional radiometric,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,CARD,80076,Stratum 2ALB4,SI-4593,8335,80,FALSE,"Sediment, humins-marsh sediment",,,,"area 6, stratum 2ALB4, humin from marsh sediment",conventional radiometric,-25,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,CARD,80078,Stratum 2B A Horizon,SMU-648,7100,80,FALSE,"Sediment, humins-marsh sediment",,,,"trench 108, substratum 2B, upper, humic acid from top of buried A horizon",conventional radiometric,-25,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1985",https://doi.org/10.1080/2052546.1985.11909281,4426,LUBBOCK,CARD,80075,Stratum 2ALB2,SMU-846,10160,80,FALSE,Sediment,,,,"area 3, stratum 2ALB2, humic acid from marsh sediment",conventional radiometric,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1985",https://doi.org/10.1080/2052546.1985.11909281,4426,LUBBOCK,CARD,80081,Stratum 2S,SMU-848,9660,80,FALSE,Bone,,,,"Stratum 2s, FA9- l",conventional radiometric,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1985",https://doi.org/10.1080/2052546.1985.11909281,4426,LUBBOCK,CARD,80075,Stratum 2ALB2,SMU-975,9720,80,FALSE,Sediment,,,,"area 3, stratum 2ALB2, humic acid from marsh sediment",conventional radiometric,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,CARD,80086,Stratum 5A,I-208,160,90,FALSE,"Bone, Bison Bison",,,,"charred bone, area 7, substratum 5A",conventional radiometric,-20,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,CARD,80075,Stratum 2ALB2,SI-4592,9040,90,FALSE,"Sediment, humins-marsh sediment",,,,"area 6, stratum 2ALB2, humin from marsh sediment",conventional radiometric,-25,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,CARD,80092,Stratum IB,SMU-295,12150,90,FALSE,"Shell, Sphaerium and Pisidium sp.",,,,"area 2, stratum 1B, among the bones of FA2-1",conventional radiometric,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,lit search,80083,Stratum 4A,SMU-332/333,4910,50,FALSE,"bone collagen, Bison",,,,,,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,lit search,80078,Stratum 2B A horizon,SMU-759,9330,70,FALSE,"humic acid, organic mud",,,,,,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,lit search,80082,Stratum 3l,SI-3197,6115,75,FALSE,"humic acid, buried A horizon",,,,,,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,lit search,80077,Stratum 2ALB5,SI-3203,10015,75,FALSE,"humic acid, organic mud",,,,,,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,lit search,80082,Stratum 3l,SI-4172,5475,75,FALSE,"humic acid, buried A horizon",,,,,,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,lit search,80085,Stratum 4l,SI-4176,4355,80,FALSE,"humic acid, marsh",,,,,,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,lit search,80082,Stratum 3l,SMU-545,5770,80,FALSE,humic acid,,,,,,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,lit search,80085,Stratum 4l,SI-4175,3175,85,FALSE,"humic acid, marsh",,,,,,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,lit search,80079,Stratum 2B cienega,SMU-827,7980,180,FALSE,"humic acid, cienega",,,,,,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,lit search,80078,Stratum 2B A horizon,L-283H,7765,200,FALSE,"charred bone, Bison",,,,,,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,lit search,80079,Stratum 2B cienega,SMU-830,8210,240,FALSE,"humic acid, cienega",,,,,,,,,
3543,Lubbock Lake [41LU1],"Holliday et al., 1983",https://doi.org/10.1080/2052546.1983.11909122,4426,LUBBOCK,lit search,80078,Stratum 2B A horizon,C-558,9883,350,FALSE,"charred bone, Bison",,,,,,,,,
3546,Peccary Cave,16894,,4431,PECCARYAB,researcher contributed,80102,Assemblage,AA-6984,270,50,FALSE,bone,Neotoma floridana,Mandible,,,,,,,
3546,Peccary Cave,16894,,4431,PECCARYAB,researcher contributed,80102,Assemblage,AA-6985,2345,50,FALSE,bone,Neotoma floridana,Mandible,,,,,,,
3546,Peccary Cave,16894,,4431,PECCARYAB,researcher contributed,80102,Assemblage,AA-6986,1695,60,FALSE,bone,Neotoma floridana,Mandible,,,,,,,
3546,Peccary Cave,16894,,4431,PECCARYAB,researcher contributed,80102,Assemblage,AA-6987,620,55,FALSE,bone,Neotoma floridana,Mandible,,,,,,,
3546,Peccary Cave,16894,,4431,PECCARYAB,researcher contributed,80102,Assemblage,AA-6988,430,50,FALSE,bone,Neotoma floridana,Mandible,,,,,,,
3546,Peccary Cave,16894,,4431,PECCARYAB,researcher contributed,80102,Assemblage,AA-6993,27075,400,FALSE,bone,Neotoma floridana,Mandible,,,,,,,
3546,Peccary Cave,16894,,4431,PECCARYAB,researcher contributed,80102,Assemblage,AA-6994,39100,1300,FALSE,bone,Neotoma floridana,Mandible,,,,,,,
3546,Peccary Cave,16894,,4431,PECCARYAB,researcher contributed,80102,Assemblage,CAMS-12583,3050,60,FALSE,bone,Neotoma floridana,R. Mandible,,,,,,,
3546,Peccary Cave,16894,,4431,PECCARYAB,researcher contributed,80102,Assemblage,CAMS-12584,34400,790,FALSE,bone,Neotoma floridana,L. Mandible,,,,,,,
3546,Peccary Cave,16894,,4431,PECCARYAB,researcher contributed,80102,Assemblage,CAMS-12585,17740,210,FALSE,bone,Neotoma floridana,L. Mandible,,,,,,,
3546,Peccary Cave,16894,,4431,PECCARYAB,researcher contributed,80102,Assemblage,CAMS-12826,33270,430,FALSE,bone,Neotoma floridana,L. Mandible,,,,,,,
3546,Peccary Cave,16894,,4431,PECCARYAB,researcher contributed,80102,Assemblage,CAMS-12828,3400,70,FALSE,bone,Neotoma floridana,R. Mandible,,,,,,,
3546,Peccary Cave,16894,,4431,PECCARYAB,researcher contributed,80102,Assemblage,CAMS-12830,4330,60,FALSE,bone,Neotoma floridana,L. Mandible,,,,,,,
3546,Peccary Cave,16894,,4431,PECCARYAB,researcher contributed,80102,Assemblage,CAMS-12831,16860,80,FALSE,bone,Neotoma floridana,R. Mandible,,,,,,,
3546,Peccary Cave,16894,,4431,PECCARYAB,researcher contributed,80102,Assemblage,CAMS-12832,19990,640,FALSE,bone,Neotoma floridana,R. Mandible,,,,,,,
3546,Peccary Cave,16894,,4431,PECCARYAB,researcher contributed,80102,Assemblage,CAMS-12833,9110,70,FALSE,bone,Neotoma floridana,R. Mandible,,,,,,,
3546,Peccary Cave,16895,,4433,PECCARYC,CARD,80105,Level 1,CAMS-13028,16050,70,FALSE,"Bone collagen; collagène osseux, Neotoma floridana",Neotoma floridana,,,"Trench 15, Unit C, Square 9 Or 10",accelerator mass spectrometry,,,,
3546,Peccary Cave,16895,,4433,PECCARYC,CARD,80106,Level 2,CAMS-19913,16470,70,FALSE,"Bone collagen; collagène osseux, Phenacomys intermedius",Scalopus aquaticus,,,"Trench 15, Unit C, Square 9 Or 10",accelerator mass spectrometry,,,,
3546,Peccary Cave,16895,,4433,PECCARYC,CARD,80106,Level 2,CAMS-19914,15950,70,FALSE,"Bone collagen; collagène osseux, Synaptomys borealis",Phenacomys intermedius,,,"Trench 15, Unit C, Square 9 Or 10",accelerator mass spectrometry,,,,
3546,Peccary Cave,16895,,4433,PECCARYC,CARD,80105,Level 1,CAMS-19915,16570,80,FALSE,"Bone collagen; collagène osseux, Scalopus aquaticus",Synaptomys borealis,,,"Trench 15, Unit C, Square 9 Or 10",accelerator mass spectrometry,,,,
3546,Peccary Cave,16895,,4433,PECCARYC,CARD,80106,Level 2,CAMS-19917,16380,70,FALSE,"Bone collagen; collagène osseux, Dasypus bellus",Dasypus bellus,,,"Trench 15, Unit C, Square 9 Or 10",accelerator mass spectrometry,,,,
3546,Peccary Cave,16895,,4433,PECCARYC,CARD,80106,Level 2,CAMS-20847,17030,100,FALSE,"Bone collagen; collagène osseux, Blarina carolinensis",Blarina carolinensis,,,"Trench 15, Unit C, Square 9 Or 10",accelerator mass spectrometry,,,,
3546,Peccary Cave,16895,,4433,PECCARYC,CARD,80106,Level 2,CAMS-20850,17130,80,FALSE,"Bone collagen; collagène osseux, Neotoma floridana",Neotoma floridana,,,"Trench 15, Unit C, Square 9 Or 10",accelerator mass spectrometry,,,,
3546,Peccary Cave,16895,,4433,PECCARYC,CARD,80106,Level 2,CAMS-20851,16670,80,FALSE,"Bone collagen; collagène osseux, Neotoma floridana",Neotoma floridana,,,"Trench 15, Unit C, Square 9 Or 10",accelerator mass spectrometry,,,,
3546,Peccary Cave,16895,,4433,PECCARYC,CARD,80106,Level 2,CAMS-20852,16600,80,FALSE,"Bone collagen; collagène osseux, Neotoma floridana",Neotoma floridana,,,"Trench 15, Unit C, Square 9 Or 10",accelerator mass spectrometry,,,,
3546,Peccary Cave,16895,,4433,PECCARYC,CARD,80106,Level 2,CAMS-20853,16680,90,FALSE,"Bone collagen; collagène osseux, Geomys bursarius",Geomys bursarius,,,"Trench 15, Unit C, Square 9 Or 10",accelerator mass spectrometry,,,,
3546,Peccary Cave,16895,,4433,PECCARYC,CARD,80106,Level 2,CAMS-20854,16740,80,FALSE,"Bone collagen; collagène osseux, Geomys bursarius",Geomys bursarius,,,"Trench 15, Unit C, Square 9 Or 10",accelerator mass spectrometry,,,,
3546,Peccary Cave,16895,,4433,PECCARYC,CARD,80106,Level 2,CAMS-20856,16950,80,FALSE,"Bone collagen; collagène osseux, Neotoma floridana",Neotoma floridana,,,"Trench 15, Unit C, Square 9 Or 10",accelerator mass spectrometry,,,,
3546,Peccary Cave,16895,,4433,PECCARYC,CARD,80106,Level 2,CAMS-20859,15690,70,FALSE,"Bone collagen; collagène osseux, Clethrionomys gapperi",Clethrionomys gapperi,,,"Trench 15, Unit C, Square 9 Or 10",accelerator mass spectrometry,,,,
3546,Peccary Cave,16895,,4433,PECCARYC,CARD,80106,Level 2,CAMS-20860,16610,80,FALSE,"Bone collagen; collagène osseux, Clethrionomys gapperi",Clethrionomys gapperi,,,"Trench 15, Unit C, Square 9 Or 10",accelerator mass spectrometry,,,,
3546,Peccary Cave,16895,,4433,PECCARYC,CARD,80106,Level 2,CAMS-20861,16200,90,FALSE,"Bone collagen; collagène osseux, Clethrionomys gapperi",Clethrionomys gapperi,,,"Trench 15, Unit C, Square 9 Or 10",accelerator mass spectrometry,,,,
3546,Peccary Cave,16895,,4433,PECCARYC,CARD,80106,Level 2,CAMS-20862,17040,150,FALSE,"Bone collagen; collagène osseux, Clethrionomys gapperi",Clethrionomys gapperi,,,"Trench 15, Unit C, Square 9 Or 10",accelerator mass spectrometry,,,,
3546,Peccary Cave,16895,,4433,PECCARYC,CARD,80106,Level 2,CAMS-20863,16970,140,FALSE,"Bone collagen; collagène osseux, Clethrionomys gapperi",Clethrionomys gapperi,,,"Trench 15, Unit C, Square 9 Or 10",accelerator mass spectrometry,,,,
3546,Peccary Cave,16895,,4433,PECCARYC,CARD,80106,Level 2,CAMS-20864,17090,90,FALSE,"Bone collagen; collagène osseux, Clethrionomys gapperi",Clethrionomys gapperi,,,"Trench 15, Unit C, Square 9 Or 10",accelerator mass spectrometry,,,,
3546,Peccary Cave,16894,,4433,PECCARYC,researcher contributed,80106,Level 2,AA-4941,16660,165,FALSE,bone,Clethrionomys gapperi,L. Mandible,,,,,,,
3546,Peccary Cave,16894,,4433,PECCARYC,researcher contributed,80106,Level 2,AA-6977,11390,80,FALSE,na,Clethrionomys gapperi,,,,,,,,
3546,Peccary Cave,16894,,4433,PECCARYC,researcher contributed,80105,Level 1,CAMS-19916,9670,60,FALSE,bone,Cryptotis parva,L. Mandible,,,,,,,
3546,Peccary Cave,16894,,4433,PECCARYC,researcher contributed,80106,Level 2,CAMS-19898,16120,60,FALSE,bone,Dasypus bellus,Osteoderm,,,,,,,
3546,Peccary Cave,16894,,4433,PECCARYC,researcher contributed,80106,Level 2,CAMS-20858,16950,80,FALSE,bone,Geomys bursarius,R. Mandible,,,,,,,
3546,Peccary Cave,16894,,4433,PECCARYC,researcher contributed,80106,Level 2,AA-6995,16415,125,FALSE,bone,Microtus xanthognathus,Mandible,,,,,,,
3546,Peccary Cave,16894,,4433,PECCARYC,researcher contributed,80106,Level 2,CAMS-20848,11430,90,FALSE,bone,Microtus xanthognathus,R. Lower M1,,,,,,,
3546,Peccary Cave,16894,,4433,PECCARYC,researcher contributed,80106,Level 2,AA-4942,16830,210,FALSE,bone,Neotoma floridana,Mandible,,,,,,,
3546,Peccary Cave,16894,,4433,PECCARYC,researcher contributed,80105,Level 1,CAMS-12827,15150,100,FALSE,bone,Neotoma floridana,R. Mandible,,,,,,,
3546,Peccary Cave,16894,,4433,PECCARYC,researcher contributed,80106,Level 2,CAMS-12829,28110,230,FALSE,bone,Neotoma floridana,R. Mandible,,,,,,,
3546,Peccary Cave,16894,,4433,PECCARYC,researcher contributed,80105,Level 1,CAMS-13026,11970,160,FALSE,bone,Neotoma floridana,R. Mandible,,,,,,,
3546,Peccary Cave,16894,,4433,PECCARYC,researcher contributed,80106,Level 2,CAMS-20849,8520,60,FALSE,bone,Neotoma floridana,Partial R. Mandible,,,,,,,
3546,Peccary Cave,16894,,4433,PECCARYC,researcher contributed,80106,Level 2,CAMS-20857,22100,130,FALSE,bone,Neotoma floridana,R. Mandible,,,,,,,
3549,Jaguar Cave [Cave No. 2],Gowlett et al. 1987,https://doi.org/10.1111/j.1475-4754.1987.tb00404.x,4437,JAGCVID,CARD,80113,Hearth II,OxA-919,11900,130,FALSE,"Bone, Panthera atrox",Panthera atrox,,,Possibly with hearth II,accelerator mass spectrometry,,,,
3549,Jaguar Cave [Cave No. 2],Gowlett et al. 1987,https://doi.org/10.1111/j.1475-4754.1987.tb00404.x,4437,JAGCVID,CARD,80114,Hearth III,GX-395,11580,250,FALSE,Charcoal,,,,Hearth III: 2 m diameter burn area,conventional radiometric,,,,
3554,Natural Trap Cave,"Barnett et al., 2009",https://doi.org/10.1111/j.1365-294X.2009.04134.x,4442,NATTRAP,CARD,80139,Unit 4,OxA-10078,24080,170,FALSE,"Bone, Panthera leo atrox (KU44409)",Panthera leo atrox,,,,accelerator mass spectrometry,,,,
3554,Natural Trap Cave,"Williams, 2009",,4442,NATTRAP,CARD,80139,Unit 4,unknown,24080,170,FALSE,"Bone, Panthera leo atrox (KU44409)",Panthera leo atrox,,,,,,,,
3554,Natural Trap Cave,"Williams, 2009",,4442,NATTRAP,CARD,80136,Unit 1,unknown,10930,300,FALSE,Bone,,,,Unit 1,,,,,
3554,Natural Trap Cave,"Williams, 2009",,4442,NATTRAP,CARD,80138,Unit 3,unknown,19765,80,FALSE,"Bone, Miracinonyx (KU43093)",Miracinonyx sp.,,,,,,,,
3554,Natural Trap Cave,"Williams, 2009",,4442,NATTRAP,CARD,80138,Unit 3,unknown,19830,80,FALSE,"Bone, Equus (KU47682)",Equus sp.,,,,,,,,
3554,Natural Trap Cave,"Williams, 2009",,4442,NATTRAP,CARD,80138,Unit 3,unknown,20130,80,FALSE,"Bone, Equus (KU53042)",Equus sp.,,,,,,,,
